88,,,,,,,,,
0,628,,,,,,,,
1,709,,,,,,,,
2,802,,,,,,,,
3,900,,,,,,,,
4,997,,,,,,,,
5,1094,,,,,,,,
6,1191,,,,,,,,
7,1291,,,,,,,,
8,1388,,,,,,,,
9,1487,,,,,,,,
10,1587,,,,,,,,
11,1682,,,,,,,,
12,1781,,,,,,,,
13,1877,,,,,,,,
14,1975,,,,,,,,
15,2075,,,,,,,,
16,2176,,,,,,,,
17,2272,,,,,,,,
18,2371,,,,,,,,
19,2469,,,,,,,,
20,2568,,,,,,,,
21,2666,,,,,,,,
22,2766,,,,,,,,
23,2861,,,,,,,,
24,2962,,,,,,,,
25,3059,,,,,,,,
26,3155,,,,,,,,
27,3258,,,,,,,,
28,3356,,,,,,,,
29,3454,,,,,,,,
30,3548,,,,,,,,
31,3648,,,,,,,,
32,3745,,,,,,,,
33,3848,,,,,,,,
34,3943,,,,,,,,
35,4042,,,,,,,,
36,4137,,,,,,,,
37,4239,,,,,,,,
38,4330,,,,,,,,
39,4432,,,,,,,,
40,4533,,,,,,,,
41,4633,,,,,,,,
42,4734,,,,,,,,
43,4837,,,,,,,,
44,4932,,,,,,,,
45,5026,,,,,,,,
46,5128,,,,,,,,
47,5223,,,,,,,,
48,5320,,,,,,,,
49,5416,,,,,,,,
50,5516,,,,,,,,
51,5617,,,,,,,,
52,5716,,,,,,,,
53,5812,,,,,,,,
54,5910,,,,,,,,
55,6006,,,,,,,,
56,6103,,,,,,,,
57,6203,,,,,,,,
58,6303,,,,,,,,
59,6405,,,,,,,,
60,6495,,,,,,,,
61,6595,,,,,,,,
62,6690,,,,,,,,
63,6792,,,,,,,,
64,6893,,,,,,,,
65,6987,,,,,,,,
66,7086,,,,,,,,
67,7185,,,,,,,,
68,7281,,,,,,,,
69,7383,,,,,,,,
70,7481,,,,,,,,
71,7579,,,,,,,,
72,7672,,,,,,,,
73,7774,,,,,,,,
74,7875,,,,,,,,
75,7972,,,,,,,,
76,8064,,,,,,,,
77,8168,,,,,,,,
78,8264,,,,,,,,
79,8364,,,,,,,,
80,8466,,,,,,,,
81,8561,,,,,,,,
82,8665,,,,,,,,
83,8757,,,,,,,,
84,8860,,,,,,,,
85,8956,,,,,,,,
86,9051,,,,,,,,
87,9152,,,,,,,,
0,FAST_MIDDLE,5,5,5,10,0,0,10,BODY
1,SLOW_SMALL,0,0,0,10,0,0,1,BODY
3,SLOW_SMALL,-5,-5,-5,10,0,0,1,LEFT_ARM
5,SLOW_MIDDLE,5,5,5,10,0,0,10,LEFT_ARM
