185
0,601
1,700
2,797
3,900
4,994
5,1092
6,1196
7,1294
8,1387
9,1482
10,1583
11,1685
12,1780
13,1880
14,1977
15,2074
16,2172
17,2272
18,2374
19,2471
20,2572
21,2669
22,2765
23,2860
24,2958
25,3033
26,3152
27,3250
28,3349
29,3425
30,3552
31,3647
32,3741
33,3817
34,3941
35,4041
36,4135
37,4209
38,4329
39,4431
40,4532
41,4601
42,4728
43,4819
44,4922
45,4991
46,5116
47,5217
48,5316
49,5385
50,5515
51,5612
52,5704
53,5779
54,6674
55,6729
56,6787
57,6850
58,6908
59,6965
60,7023
61,7081
62,7138
63,7191
64,7254
65,7315
66,7551
67,7564
68,7576
69,7612
70,7658
71,7717
72,7772
73,7831
74,7888
75,7949
76,8008
77,8067
78,8129
79,8185
80,8241
81,8300
82,8357
83,8417
84,8475
85,8534
86,8591
87,8649
88,8706
89,8766
90,8825
91,8839
92,8849
93,8873
94,8930
95,8994
96,9051
97,9110
98,9168
99,9228
100,9286
101,9346
102,9407
103,9465
104,9525
105,9579
106,9637
107,9695
108,9753
109,9814
110,9871
111,9926
112,9984
113,10048
114,10110
115,10165
116,10220
117,10278
118,10338
119,10394
120,10424
121,10460
122,10497
123,10541
124,10563
125,10590
126,10636
127,10682
128,10731
129,10785
130,10845
131,10902
132,10960
133,11024
134,11079
135,11136
136,11197
137,11291
138,11306
139,11333
140,11346
141,11376
142,11388
143,11427
144,11468
145,11491
146,11526
147,11586
148,11645
149,11701
150,11755
151,11822
152,11880
153,11943
154,12001
155,12064
156,12116
157,12176
158,12239
159,12298
160,12356
161,12418
162,12476
163,12537
164,12592
165,12652
166,12712
167,12768
168,12825
169,12882
170,12937
171,12998
172,13056
173,13116
174,13172
175,13205
176,13234
177,13273
178,13318
179,13343
180,13370
181,13430
182,13646
183,13874
184,14112
SLOW_MIDDLE,5,0,0,10,0,0,10,RIGHT_ARM,
SLOW_MIDDLE,-5,0,0,10,0,0,10,LEFT_ARM,
FAST_MIDDLE,0,0,0,10,0,0,10,BODY,
SLOW_SMALL,5,0,0,10,0,0,0.2,RIGHT_ARM,
SLOW_SMALL,-5,0,0,10,0,0,0.2,LEFT_ARM,
FAST_SMALL,0,0,0,10,0,0,0.2,BODY,
SLOW_SMALL,5,0,0,10,0,0,0.2,RIGHT_ARM,
SLOW_SMALL,-5,0,0,10,0,0,0.2,LEFT_ARM,
FAST_MIDDLE,0,0,0,10,0,0,10,BODY,
SLOW_MIDDLE,-5,0,0,10,0,0,10,LEFT_ARM,
SLOW_MIDDLE,5,0,0,10,0,0,10,RIGHT_ARM,
SLOW_MIDDLE,-5,0,0,10,0,0,10,LEFT_ARM,
SLOW_MIDDLE,5,0,0,10,0,0,10,RIGHT_ARM,
FAST_MIDDLE,0,0,0,10,0,0,10,BODY,
SLOW_MIDDLE,-5,0,0,10,0,0,10,LEFT_ARM,
SLOW_MIDDLE,5,0,0,10,0,0,10,RIGHT_ARM,
SLOW_MIDDLE,-5,0,0,10,0,0,10,LEFT_ARM,
SLOW_MIDDLE,5,0,0,10,0,0,10,RIGHT_ARM,
FAST_MIDDLE,0,0,0,10,0,0,10,BODY,
SLOW_MIDDLE,-5,0,0,10,0,0,10,LEFT_ARM,
SLOW_MIDDLE,5,0,0,10,0,0,10,RIGHT_ARM,
SLOW_MIDDLE,-5,0,0,10,0,0,10,LEFT_ARM,
SLOW_MIDDLE,5,0,0,10,0,0,10,RIGHT_ARM,
FAST_MIDDLE,0,0,0,10,0,0,10,BODY,
