845,,487,,4,,6,,6,,,,,,,,,,,,,,,,,,,,,
0,64,0,57,0,1100,0,8190,0,8190,,,,,,,,,,,,,,,,,,,,
1,77,1,92,1,7050,1,9160,1,9160,,,,,,,,,,,,,,,,,,,,
2,123,2,135,2,8185,2,9820,2,9820,,,,,,,,,,,,,,,,,,,,
3,131,3,175,3,13450,3,10798,3,10798,,,,,,,,,,,,,,,,,,,,
4,141,4,210,,,4,11810,4,11810,,,,,,,,,,,,,,,,,,,,
5,152,5,253,,,5,12475,5,12475,,,,,,,,,,,,,,,,,,,,
6,179,6,293,,,,,,,,,,,,,,,,,,,,,,,,,,
7,192,7,334,,,,,,,,,,,,,,,,,,,,,,,,,,
8,217,8,373,,,,,,,,,,,,,,,,,,,,,,,,,,
9,227,9,414,,,,,,,,,,,,,,,,,,,,,,,,,,
10,248,10,452,,,,,,,,,,,,,,,,,,,,,,,,,,
11,288,11,494,,,,,,,,,,,,,,,,,,,,,,,,,,
12,302,12,536,,,,,,,,,,,,,,,,,,,,,,,,,,
13,322,13,575,,,,,,,,,,,,,,,,,,,,,,,,,,
14,337,14,620,,,,,,,,,,,,,,,,,,,,,,,,,,
15,389,15,663,,,,,,,,,,,,,,,,,,,,,,,,,,
16,402,16,712,,,,,,,,,,,,,,,,,,,,,,,,,,
17,413,17,753,,,,,,,,,,,,,,,,,,,,,,,,,,
18,425,18,797,,,,,,,,,,,,,,,,,,,,,,,,,,
19,438,19,844,,,,,,,,,,,,,,,,,,,,,,,,,,
20,461,20,886,,,,,,,,,,,,,,,,,,,,,,,,,,
21,474,21,928,,,,,,,,,,,,,,,,,,,,,,,,,,
22,499,22,971,,,,,,,,,,,,,,,,,,,,,,,,,,
23,510,23,1013,,,,,,,,,,,,,,,,,,,,,,,,,,
24,535,24,1055,,,,,,,,,,,,,,,,,,,,,,,,,,
25,812,25,1095,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2075,26,1136,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2096,27,1179,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2109,28,1223,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2127,29,1264,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2140,30,1306,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2164,31,1347,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2177,32,1390,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2185,33,1431,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2195,34,1473,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2218,35,1518,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2239,36,1560,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2268,37,1602,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2298,38,1642,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2338,39,1686,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2358,40,1728,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2371,41,1769,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2398,42,1813,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2414,43,1855,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2434,44,1897,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2444,45,1940,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2467,46,1979,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2490,47,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2500,48,2065,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2510,49,2104,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2518,50,2149,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2536,51,2192,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2558,52,2239,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2588,53,2278,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2611,54,2320,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2624,55,2360,,,,,,,,,,,,,,,,,,,,,,,,,,
